,BiDirec,Num_layers,Size,Dropout,Reg,Gen.,Prec.,Fit.,average
36,True,1,32,0.6,1e-05,0.5484747406632853,0.9448229166666671,0.9481349000478205,0.8138108524592577
37,True,1,32,0.6,0.0001,0.7598878368737975,0.9415312500000003,0.9430941515505551,0.8815044128081176
38,True,1,32,0.6,0.001,0.8419553469919376,0.9333229166666668,0.9341558800437939,0.9031447145674661
39,True,1,32,0.6,0.01,0.1733851736531156,0.2442083333333334,0.2448236048567808,0.22080570394774326
40,True,1,64,0.0,0.0,0.025377530968972398,0.9480312500000003,0.9557263940517944,0.6430450583402557
41,True,1,64,0.0,1e-05,0.35384904133686734,0.9457812500000002,0.9506977009014237,0.750109330746097
42,True,1,64,0.0,0.0001,0.5888737502128721,0.9376145833333334,0.9405690711497567,0.8223524682319874
43,True,1,64,0.0,0.001,0.7482199820555395,0.9258020833333334,0.9273693643693749,0.8671304765860826
44,True,1,64,0.0,0.01,0.7964591976211441,0.8999479166666666,0.9008440450243709,0.8657503864373939
45,True,1,64,0.2,0.0,0.014085710859531395,0.9462708333333337,0.95403528641848,0.6381306102037817
46,True,1,64,0.2,1e-05,0.5287328216606968,0.9428333333333334,0.9463293488565165,0.8059651679501822
47,True,1,64,0.2,0.0001,0.7210553404290944,0.943479166666667,0.9453508012269498,0.8699617694409038
48,True,1,64,0.2,0.001,0.7693417994476558,0.9393541666666669,0.9408459269857777,0.8831806310333669
49,True,1,64,0.2,0.01,0.6023093545338716,0.7019062500000001,0.7028186526164774,0.6690114190501163
50,True,1,64,0.4,0.0,0.0243465274974115,0.9450520833333336,0.9527229193834832,0.6407071767380761
51,True,1,64,0.4,1e-05,0.6290432187734603,0.9460000000000003,0.948668487792881,0.8412372355221139
52,True,1,64,0.4,0.0001,0.7891579422857758,0.9434270833333336,0.9447622585970723,0.8924490947387271
53,True,1,64,0.4,0.001,0.8554196829964821,0.9418020833333336,0.9425882322177237,0.9132699995158463
54,True,1,64,0.4,0.01,0.36298323244819586,0.47272916666666676,0.4736785206939953,0.436463639936286
55,True,1,64,0.6,0.0,0.032838702812912304,0.9445312500000002,0.9521378535790308,0.6431692687973144
56,True,1,64,0.6,1e-05,0.7032294253936908,0.9466979166666669,0.9487559268678993,0.866227756309419
57,True,1,64,0.6,0.0001,0.7307337595777968,0.946479166666667,0.9483360501003398,0.8751829921149344
58,True,1,64,0.6,0.001,0.8014960027226357,0.9384895833333338,0.9396794660909191,0.8932216840489628
59,True,1,64,0.6,0.01,0.2771676009541725,0.2729583333333333,0.2729338889975603,0.2743532744283554
60,True,2,16,0.0,0.0,0.04005288727630527,0.9469166666666669,0.9544252877023784,0.6471316138817835
61,True,2,16,0.0,1e-05,0.34442435640785934,0.9434583333333335,0.9484405454100742,0.7454410783837556
62,True,2,16,0.0,0.0001,0.6438947606460345,0.9371041666666668,0.9396506894959207,0.8402165389362074
63,True,2,16,0.0,0.001,0.8020441565712721,0.9395000000000002,0.9406979389877902,0.8940806985196875
64,True,2,16,0.0,0.01,0.0,0.0,0.0,0.0
65,True,2,16,0.2,0.0,0.04215167548500882,0.939729166666667,0.9472665138808131,0.6430491186774963
66,True,2,16,0.2,1e-05,0.3405562741151886,0.9392812500000003,0.9444707241423668,0.7414360827525185
67,True,2,16,0.2,0.0001,0.7720094657146432,0.942541666666667,0.9440587611523128,0.8862032978445411
68,True,2,16,0.2,0.001,0.7987603280206848,0.9410312500000004,0.9422639665250543,0.8940185148485797
69,True,2,16,0.2,0.01,0.0,0.0,0.0,0.0
